order_id,customer_id,product_id,order_date,quantity,net_price,list_price,discount,currency,channel,country,won_flag,customer_segment,product_family,region,competitor_price,sales_notes
O-001,C-100,P-001,2024-01-10,10,120,150,0.2,EUR,Direct,DE,1,Enterprise,Widgets,EMEA,125,"Customer mentioned budget constraints but loved product quality"
O-002,C-200,P-002,2024-02-15,5,80,100,0.2,USD,Partner,US,0,SMB,Gadgets,Americas,75,"Lost to competitor undercutting by 15%, price sensitivity high"
O-003,C-100,P-001,2024-01-20,15,115,150,0.233,EUR,Direct,DE,1,Enterprise,Widgets,EMEA,128,"Bulk discount applied, strategic account"
O-004,C-300,P-001,2024-02-01,8,135,150,0.1,EUR,Partner,FR,1,Enterprise,Widgets,EMEA,140,"Premium pricing accepted, urgent delivery needed"
O-005,C-400,P-002,2024-02-05,12,85,100,0.15,USD,Direct,US,1,Enterprise,Gadgets,Americas,90,"Competitive deal, good relationship"
O-006,C-500,P-001,2024-02-10,20,110,150,0.267,EUR,Partner,DE,0,SMB,Widgets,EMEA,105,"Price too high despite volume discount"
O-007,C-600,P-002,2024-02-12,6,95,100,0.05,USD,Direct,CA,1,Enterprise,Gadgets,Americas,100,"Premium market, brand preference strong"
O-008,C-700,P-001,2024-02-18,4,140,150,0.067,EUR,Direct,IT,1,SMB,Widgets,EMEA,145,"Low volume but urgent need"
O-009,C-800,P-002,2024-02-20,25,70,100,0.3,USD,Partner,US,0,SMB,Gadgets,Americas,65,"Volume deal but lost on price"
O-010,C-900,P-001,2024-02-25,30,108,150,0.28,EUR,Partner,ES,1,Enterprise,Widgets,EMEA,115,"Large volume strategic win"
O-011,C-1000,P-002,2024-03-01,8,88,100,0.12,USD,Direct,US,1,SMB,Gadgets,Americas,92,"Standard pricing, quick decision"
O-012,C-1100,P-001,2024-03-05,12,125,150,0.167,EUR,Direct,DE,1,Enterprise,Widgets,EMEA,130,"Relationship pricing, long-term contract"
O-013,C-1200,P-002,2024-03-08,18,75,100,0.25,USD,Partner,MX,0,SMB,Gadgets,Americas,70,"Emerging market, price sensitive"
O-014,C-1300,P-001,2024-03-12,5,145,150,0.033,EUR,Direct,CH,1,Enterprise,Widgets,EMEA,150,"Premium market, low price sensitivity"
O-015,C-1400,P-002,2024-03-15,22,82,100,0.18,USD,Direct,US,1,Enterprise,Gadgets,Americas,85,"Volume pricing accepted"
O-016,C-1500,P-001,2024-03-18,7,130,150,0.133,EUR,Partner,FR,1,SMB,Widgets,EMEA,135,"Mid-market sweet spot"
O-017,C-1600,P-002,2024-03-20,14,78,100,0.22,USD,Partner,US,0,SMB,Gadgets,Americas,72,"Aggressive competitor pricing"
O-018,C-1700,P-001,2024-03-25,40,105,150,0.3,EUR,Partner,DE,1,Enterprise,Widgets,EMEA,110,"Largest volume deal, strategic pricing"
O-019,C-1800,P-002,2024-03-28,9,90,100,0.1,USD,Direct,CA,1,SMB,Gadgets,Americas,95,"Canadian market premium"
O-020,C-1900,P-001,2024-04-02,16,118,150,0.213,EUR,Direct,IT,1,Enterprise,Widgets,EMEA,122,"Southern Europe pricing"
